run_no,time/tau,Residence time(s),Temperature(K),Pressure(atm),y_C2H6(M),y_C2H4(M),y_CH4(M),y_H2(M),y_CO2(M),y_CO(M),y_H2O(M)
run_0,0,1.0,835.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_0,1,1.0,835.0,1.0,0.00048122955559893216,1.8552653982086876e-05,4.355808379618311e-07,1.7976398626128924e-05,0.000499641535063023,3.584649369770395e-07,3.584649369770395e-07
run_1,0,6.5,835.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_1,1,6.5,835.0,1.0,0.00038984425926518574,0.00010366643315982712,1.2978615149974118e-05,8.51495634950284e-05,0.0004879724379101884,1.2027562089811633e-05,1.2027562089811633e-05
run_2,0,12.0,835.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_2,1,12.0,835.0,1.0,0.0003234535485606905,0.00016024842136786585,3.259606014288737e-05,0.00011162558229407658,0.0004676751909976544,3.2324809002345574e-05,3.2324809002345574e-05
run_3,0,1.0,838.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_3,1,1.0,838.0,1.0,0.0004799946062813859,1.9760764088374255e-05,4.892592604796542e-07,1.9120798500890585e-05,0.0004996046640427563,3.9533595724384346e-07,3.9533595724384346e-07
run_4,0,6.5,838.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_4,1,6.5,838.0,1.0,0.00038335889066016285,0.00010945028122731143,1.4381656225051426e-05,8.90991488484386e-05,0.00048683969573365274,1.316030426634713e-05,1.316030426634713e-05
run_5,0,12.0,838.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_5,1,12.0,838.0,1.0,0.00031449854823827663,0.00016774634738048804,3.551020876247071e-05,0.00011510935076884524,0.00046511810776959255,3.4881892230407436e-05,3.4881892230407436e-05
run_6,0,1.0,842.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_6,1,1.0,842.0,1.0,0.00047823803430545336,2.1476836034153313e-05,5.702593207866981e-07,2.074183368430365e-05,0.0004995501273105438,4.498726894563115e-07,4.498726894563115e-07
run_7,0,6.5,842.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_7,1,6.5,842.0,1.0,0.00037430006189199483,0.00011748725637829448,1.642536345942143e-05,9.448140614491637e-05,0.0004852068314963326,1.4793168503667398e-05,1.4793168503667398e-05
run_8,0,12.0,842.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_8,1,12.0,842.0,1.0,0.00030221272134325563,0.00017794890207452062,3.9676753164447534e-05,0.0001196023695258664,0.00046149184403356945,3.8508155966430415e-05,3.8508155966430415e-05
run_9,0,1.0,845.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_9,1,1.0,845.0,1.0,0.00047683409351036556,2.284648276756388e-05,6.388474441412691e-07,2.2031890955400748e-05,0.0004995048319099074,4.95168090092495e-07,4.95168090092495e-07
run_10,0,6.5,845.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_10,1,6.5,845.0,1.0,0.00036722100585229287,0.0001237338052563741,1.8090377782666266e-05,9.857835371521631e-05,0.00048388973735017537,1.6110262649824626e-05,1.6110262649824626e-05
run_11,0,12.0,845.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_11,1,12.0,845.0,1.0,0.00029284832598678754,0.00018566284549122978,4.297765704396538e-05,0.0001228232904364429,0.0004586492734671959,4.135072653280417e-05,4.135072653280417e-05
run_12,0,1.0,849.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
run_12,1,1.0,849.0,1.0,0.00047483997098473875,2.478903065542434e-05,7.41996719673569e-07,2.385602579101539e-05,0.0004994379934954279,5.620065045721633e-07,5.620065045721633e-07
run_13,0,6.5,849.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
