run_no,time(s),Temperature(K),Pressure(atm),y_C2H6,y_C2H4,y_CH4,y_H2,y_CO2,y_CO,y_H2O
run_0,0.0,835.0,1.0,0.0004999999999999999,0.0,0.0,0.0,0.0005,0.0,0.0
run_0,1.0,835.0,1.0,0.0004812638680995232,1.8481231261690246e-05,5.09801277573012e-07,1.780725264347122e-05,0.0004995809220205673,4.190779794325185e-07,4.190779794325185e-07
run_0,2.0,835.0,1.0,0.00046306194386573613,3.613248105880768e-05,1.611150150912265e-06,3.394719662617942e-05,0.0004986202906428278,1.379709357172123e-06,1.379709357172123e-06
run_0,3.0,835.0,1.0,0.00044547969040626534,5.284870486866028e-05,3.343209450148638e-06,4.8249899257519535e-05,0.0004970727991139335,2.9272008860664126e-06,2.9272008860664126e-06
run_0,4.0,835.0,1.0,0.00042853377049117237,6.862438665583514e-05,5.683685705984883e-06,6.073610354705124e-05,0.0004949535597442085,5.046440255791458e-06,5.046440255791458e-06
run_0,5.0,835.0,1.0,0.0004124056511680144,8.339945365590577e-05,8.389790352159455e-06,7.163171267223837e-05,0.0004924271541924122,7.572845807587681e-06,7.572845807587681e-06
run_0,6.0,835.0,1.0,0.00039714502994078364,9.715745403097604e-05,1.1395032056480427e-05,8.099859364538404e-05,0.0004895386556426481,1.0461344357351794e-05,1.0461344357351794e-05
run_0,7.0,835.0,1.0,0.00038275679087329366,0.00010979454123442975,1.489733578455308e-05,8.844532417696916e-05,0.0004860994508348159,1.3900549165184026e-05,1.3900549165184026e-05
run_0,8.0,835.0,1.0,0.0003692229462304133,0.00012169317631634927,1.8167754906474745e-05,9.541349076893483e-05,0.00048280419190582286,1.719580809417704e-05,1.719580809417704e-05
run_0,9.0,835.0,1.0,0.00035655434669979916,0.00013262264844154676,2.1646009717308063e-05,0.00010103348950792391,0.0004792338459250311,2.076615407496881e-05,2.076615407496881e-05
run_0,10.0,835.0,1.0,0.0003447443566958102,0.000142625658359886,2.525996988860757e-05,0.00010545475523131843,0.00047545908181573617,2.4540918184263737e-05,2.4540918184263737e-05
run_1,0.0,848.0,1.0,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0
