,t(s),N2_molefrac,NH3_molefrac,H2_molefrac,N2_massfrac,NH3_massfrac,H2_massfrac,dN2_rate(kmol/sec),dNH3_rate(kmol/sec),dH2_rate(kmol/sec),NH3_Conversion_mass,pressure(atm),temperature(K),residence_time(sec),vol_flow_rate(cm3/sec),P_N2(atm),P_NH3(atm),P_H2(atm)
0,100.0,0.0490214071,0.803914372,0.147064221,0.0893994455,0.891299925,0.0193006299,5.5963109e-09,-1.11926219e-08,1.67889327e-08,0.10870007500000001,2.95,883.33,0.3952569169960475,2.53,0.144613150945,2.3715473974,0.43383945195
1,100.0,0.0329024688,0.868390125,0.0987074064,0.0579329833,0.929559746,0.0125072708,7.29472451e-09,-1.4589449e-08,2.18841735e-08,0.07044025399999998,3.85,876.67,0.25839793281653745,3.87,0.12667450488,3.34330198125,0.38002351464
2,100.0,0.00759999082,0.969600037,0.0227999725,0.0126940439,0.984565413,0.0027405432,2.15160985e-09,-4.30321968e-09,6.45482955e-09,0.015434587,4.45,803.33,0.24213075060532688,4.13,0.033819959149,4.31472016465,0.10145987762500001
3,100.0,0.188500647,0.245997413,0.56550194,0.497692017,0.394860231,0.107447752,2.22004121e-08,-4.44008241e-08,6.66012367e-08,0.605139769,1.45,963.33,0.25,4.0,0.27332593815,0.35669624885,0.8199778129999999
4,100.0,0.0479778403,0.808088639,0.143933521,0.0872943124,0.893859539,0.0188461484,1.51865971e-08,-3.10168235e-08,4.56249492e-08,0.10614046099999996,5.05,916.67,0.234192037470726,4.27,0.24228809351499997,4.08084762695,0.72686428105
5,100.0,0.0405734705,0.837706118,0.121720412,0.0726325124,0.911686705,0.0156807823,1.35821003e-08,-2.71642006e-08,4.07463008e-08,0.08831329499999996,4.75,903.33,0.20833333333333334,4.8,0.192723984875,3.9791040605,0.578171957
6,100.0,0.0456815768,0.817273693,0.13704473,0.0826962312,0.89945031,0.0178534592,3.42825017e-09,-6.8565003e-09,1.02847505e-08,0.10054969000000002,4.15,890.0,0.8333333333333334,1.2,0.18957854372000002,3.3916858259500002,0.5687356295000001
7,100.0,0.0122654908,0.950938037,0.0367964725,0.0206826616,0.974852116,0.0044652223,5.46717546e-09,-1.0934351e-08,1.64015264e-08,0.02514788400000001,9.25,863.33,0.3003003003003003,3.33,0.1134557899,8.79617684225,0.34036737062500005
8,100.0,0.0109424334,0.956230266,0.0328273002,0.0184017408,0.97762547,0.00397278961,3.33894016e-09,-6.67788029e-09,1.00168205e-08,0.022374530000000004,9.85,856.67,0.4694835680751174,2.13,0.10778296898999999,9.4188681201,0.32334890696999996
9,100.0,0.00962494187,0.961500233,0.0288748256,0.016142646,0.980372285,0.003485069,5.1326684e-09,-1.02653368e-08,1.53980052e-08,0.019627715000000046,7.75,843.33,0.21413276231263384,4.67,0.0745932994925,7.45162680575,0.2237798984
