,Run No,Loss,Reg. Loss,Repeat,N2(T),N(T),TS4_N2(T),N2(S),N(S),TS4_N2(S)
0,1,1.1486742777079324,0.009961895076478456,0,-19.259034553670745,-16.611125319038198,-3.3587879057079135,7.28074862437834,-12.97773794005475,0.28393611602081137
1,2,1.1486742776920669,0.010085389317533337,0,-20.0,-16.611125319038198,-3.3587879057079135,7.28074862437834,-12.97773794005475,0.28393611602081137
2,3,1.1486742777019925,0.010100321120803779,0,-19.259034553670745,-17.441681584990107,-3.3587879057079135,7.28074862437834,-12.97773794005475,0.28393611602081137
3,4,1.1486742777079315,0.009989884975692693,0,-19.259034553670745,-16.611125319038198,-3.5267273009933096,7.28074862437834,-12.97773794005475,0.28393611602081137
4,5,1.1486742776754706,0.01002256798168161,0,-19.259034553670745,-16.611125319038198,-3.3587879057079135,7.644786055597257,-12.97773794005475,0.28393611602081137
5,6,1.15808290824722,0.010070042892645579,0,-19.259034553670745,-16.611125319038198,-3.3587879057079135,7.28074862437834,-13.626624837057488,0.28393611602081137
6,7,1.1487970262962042,0.009964261210778636,0,-19.259034553670745,-16.611125319038198,-3.3587879057079135,7.28074862437834,-12.97773794005475,0.29813292182185197
7,8,1.138200848054057,0.009971397001677255,0,-19.506023035780494,-16.887977407688833,-3.414767704136378,7.402094434784646,-12.328851043052012,0.2886683846211583
8,9,1.1265020231498388,0.009922074056193091,0,-19.629517276835372,-17.02640345201415,-3.4427576033506107,7.462767339987799,-11.679964146049272,0.2910345189213317
9,10,1.1416806220295885,0.010063116298682355,0,-19.629517276835372,-17.026403452014147,-3.4427576033506115,7.462767339987799,-12.545146675386261,0.2721054445199442
10,11,1.1393662491427354,0.010099222840383832,0,-19.75301151789025,-17.16482949633947,-3.4707475025648433,7.523440245190953,-12.40094958716343,0.28235869315402906
11,12,1.1360562875726343,0.01010767889606664,0,-19.91767050596342,-17.34939755543989,-3.2841481744699594,7.60433745212849,-12.208686802866323,0.28183288553176833
12,13,1.1314736877617926,0.00997682603881079,0,-20.0,-16.488079946304573,-3.427207659342703,7.712200394711873,-11.952336423803514,0.2811318087020873
13,14,1.125053704935569,0.009978439386406102,0,-19.39625037706505,-17.277621088011944,-3.450014243887633,7.856017651489717,-11.610535918386434,0.28019703959584596
14,15,1.1110962903992894,0.00992496442084249,0,-19.094375565597574,-17.610868972498814,-3.495627412977493,8.143652165045406,-10.926934907552276,0.27832750138336326
15,16,1.1110962906356618,0.009995004619638695,0,-20.0,-17.610868972498817,-3.495627412977494,7.6582689234201835,-10.926934907552278,0.27832750138336326
16,17,1.108951194388614,0.009945473991962824,0,-19.835341011926836,-17.39041267968442,-3.429280985210422,7.905454833507102,-10.820122249609438,0.29223219183870347
17,18,1.0889475941891686,0.009886652838603056,0,-19.93825287947257,-17.572417293519557,-3.4225426761403277,8.126798580266755,-9.957610036721025,0.3022955654980831
18,19,1.0934770519345063,0.009838510783001091,0,-19.7735938913994,-17.38784923441914,-3.385222810521352,8.045901373329217,-10.149872821018134,0.2886245673193033
19,20,1.0811069673034217,0.009740332022963092,0,-19.560909365138215,-17.216098401645123,-3.6055136839667004,8.112192140125254,-9.655864278032508,0.2914142688707424
20,21,1.0448048527802445,0.009556658586411313,0,-19.382528794725616,-17.149448824747743,-3.7661964387150704,8.366119484123637,-8.3794530156156,0.2962049605402295
21,22,1.0551915009541948,0.009731129062752454,0,-19.27275613601018,-18.297872303594836,-3.5754504588847453,8.222302227345793,-8.721253521032681,0.29713972964647073
22,23,1.0328484873557333,0.009722232714223273,0,-19.524318478899744,-18.18337174841215,-3.60413146672155,8.724913577855865,-8.007388923781392,0.28927208966893936
23,24,0.9661104751474031,0.009622312043238369,0,-19.47171907993193,-18.761855896611152,-3.6848183984070193,9.355986696789898,-6.171101312647451,0.2883908750427432
24,25,1.0046675332166015,0.009525071291977567,0,-18.977742115712424,-17.982568535964926,-3.6143253189045073,9.095317918880053,-7.175140297310113,0.30533356509336784
25,26,0.9567449511433662,0.009461813781152125,0,-19.844488733486465,-18.106468390453635,-3.6538912875468474,8.927156595199708,-5.924542093896058,0.314335586330036
26,27,0.8433838471854084,0.00919364757506846,0,-20.0,-18.354268099431046,-3.733023224831525,9.31890881027686,-3.4233456870679504,0.3323396288033724
27,28,0.8927324857781145,0.009333313016349315,0,-19.24073911055151,-18.651627750203946,-3.8802293614397128,9.449243199231782,-4.4594284691134725,0.3186102075554522
28,29,0.8122613895954836,0.009100724353329433,0,-18.84357553283798,-18.826796509998324,-3.995471724253867,9.809160865282585,-2.818964064208064,0.31037742339579555
29,30,0.622627769200183,0.00895787975137543,0,-18.29623685952069,-19.453986118237708,-4.281936248310636,10.650342007790499,0.7503589220484166,0.31441835234465176
30,31,0.7113839270830319,0.008915125145160099,0,-19.183565850803873,-18.48671277147067,-4.078059204651411,10.523003811685118,-0.8981164322027091,0.3212928001468015
31,32,0.5966618333067765,0.009280223299052537,0,-19.007472210781188,-20.0,-3.9912674801331987,11.098147997427766,1.2538619235178396,0.3305901824552335
32,33,0.38254092612061286,0.010301035226704726,0,-18.819943918808974,-20.0,-4.103803000842262,12.464162254079831,6.07051939308456,0.34778279341273555
33,34,0.4430555465898794,0.009979747292976649,0,-19.359659490826566,-19.92024834268658,-4.3062978272563495,11.491897674404612,4.464769102010578,0.3356113206752176
34,35,0.35393289014730267,0.010352649887035218,0,-18.82832933023861,-19.527091797398825,-4.442964557370281,11.943199222366335,7.006020255567258,0.36829415927000053
35,36,0.2673934486960488,0.011746335694374888,0,-18.506634455391946,-19.90970974779266,-4.822037636851913,13.236805485154555,13.594581039674614,0.4082458013836292
36,37,0.27753790377579396,0.011361477475933697,0,-18.814607747899174,-20.0,-4.561489686141653,13.112463481898706,11.31235058162931,0.3679533580333504
37,38,0.2649072203890486,0.012117774208001584,0,-17.660216107750408,-20.0,-4.984851309853216,14.507316094727582,15.188166555816204,0.3660951798620896
38,39,0.27108670618693037,0.013264263701055674,0,-16.490324161625608,-20.0,-5.610765352364062,17.101519736952945,20.0,0.38297295539144827
39,40,0.26818074264764924,0.01265989655456841,0,-17.96886700926205,-20.0,-4.942079365100597,14.63132518766681,18.025031630290606,0.39207613509042316
40,41,0.27198659944915554,0.013326856773248625,0,-18.747072717125683,-20.0,-4.9582500270380265,15.830981384853533,20.0,0.4248365104744968
41,42,0.27217037894041346,0.013249972094956415,0,-17.47945449458618,-20.0,-5.15120584801954,16.435786955055722,20.0,0.43338527207702404
42,43,0.2725207528603297,0.013413703949869972,0,-17.5723402585295,-19.96990324926422,-5.702834956826052,16.787397275705803,20.0,0.4497479588942689
43,44,0.2726734607150473,0.01342832853346774,0,-17.16358726631608,-19.95987099901896,-5.625596695088128,17.36407397915596,20.0,0.45684226122729354
44,45,0.2721971356663111,0.013273601161516336,0,-17.57634238671185,-19.96990324926422,-5.359569942851509,16.301171354841646,20.0,0.4346200354288077
45,46,0.26509276483060873,0.012044441545685448,0,-18.407188798413202,-19.98996774975474,-4.369829753078882,13.527064878394143,15.602593075260472,0.3700050192112213
46,47,0.2654338072169849,0.011774824462095443,0,-18.680135474131305,-19.996655916584913,-4.383181370462548,13.088588640442467,14.136790767013963,0.36359460393748694
47,48,0.27099655326693917,0.011306737651035058,0,-19.177250359438688,-19.965444471377438,-4.335537306108854,11.83824026869064,12.182387689351948,0.3415658112427583
48,49,0.29635064274372896,0.010556479932004984,0,-18.053024684336847,-19.953925961836582,-4.320922220113976,11.112132133505199,9.57651691913593,0.32235767310137275
49,50,0.26744201439795,0.01263426256293771,0,-18.573560708928476,-19.988481490459144,-4.798918075307014,14.65126907201645,17.39412922978398,0.39921680113121577
50,51,0.2706006407801486,0.013019107358186115,0,-17.42161715852044,-19.996160496819712,-5.098095197442536,16.042549517443366,19.131376409928002,0.42484536896259695
51,52,0.26754493204531093,0.01259101493139835,0,-17.860525458750004,-19.988481490459144,-4.9074557246091155,14.991472205255185,17.39412922978399,0.4040254795326373
