,DRC-Expt-0,DRC-Expt-1,DRC-Expt-2,DRC-Expt-3,DRC-Expt-4,mean_DRC,min_DRC,max_DRC
CH3CH3+PtCu111(*)=CH3CH3*,-1.8825428829461155,0.003589533089965638,0.0002351569338288255,0.0002519841621153787,-0.012317651235825138,-0.37815677199920616,-1.8825428829461155,0.003589533089965638
CH3CH2Cl+PtCu111(*)=CH3CH2Cl*,0.0005555313740302519,0.003366676418433745,0.0013525621463436703,0.0003780081960276793,0.02050281859460753,0.005231119345888576,0.0003780081960276793,0.02050281859460753
ClCH2CH2Cl+PtCu111(*)=ClCH2CH2Cl*,-0.0002777633900072068,-0.004379907683661852,0.0016171174965852251,-0.0003295695348686747,-0.004454287781114227,-0.0015648821786133468,-0.004454287781114227,0.0016171174965852251
CH2CH2+PtCu111(*)=CH2CH2*,-0.000925969097289536,-0.011842124626526942,-0.00026453451967404455,0.00031015648824436905,0.03637335917654626,0.0047301774842600204,-0.011842124626526942,0.03637335917654626
CH2CHCl+PtCu111(*)=CH2CHCl*,0.0003240657462324325,0.010112246295005959,-0.001264364560810767,-0.0008142739850126847,-0.003194626997049555,0.001032609299673077,-0.003194626997049555,0.010112246295005959
ClCHCHCl+PtCu111(*)=ClCHCHCl*,0.00023151188770931505,0.0062167135066451195,0.0018523508063721169,-0.0004749988961737981,0.005529694205139302,0.0026710543019384117,-0.0004749988961737981,0.0062167135066451195
CHCH+PtCu111(*)=CHCH*,-4.623291307171795e-05,0.007656828261703363,5.880540503898574e-09,-0.00023264665333911288,0.0050284314449284846,0.002481277204152304,-0.00023264665333911288,0.007656828261703363
CHCCl+PtCu111(*)=CHCCl*,-0.0004629173314395769,0.0015306378318481941,5.880540503898574e-09,0.0002714136520788329,0.027935023387380735,0.005854832684081738,-0.0004629173314395769,0.027935023387380735
ClCCCl+PtCu111(*)=ClCCCl*,-0.0006944061069576007,0.0042989026588335436,0.0005292543828985286,-8.723861762063714e-05,-0.03727158812675058,-0.006645015161919348,-0.03727158812675058,0.0042989026588335436
H2+2PtCu111(*)=2H*,-0.0011573789929235365,0.005403625579232583,-0.0002646404404254137,-0.00045561004764548414,0.004883549536628209,0.0016819091269732716,-0.0011573789929235365,0.005403625579232583
HCl+2PtCu111(*)=H*+Cl*,-0.001574068147422886,0.002097779010492247,-0.0005881039629404034,0.0004846511361720617,0.004130306412098496,0.0009101128896799031,-0.001574068147422886,0.004130306412098496
CH3CH3*+PtCu111(*)=TS12=CH3CH2*+H*,-0.8682245011347138,-1.8925339414131788,-2.6855537454268426,-3.601203319866574,-4.698086478796881,-2.749120397327638,-4.698086478796881,-0.8682245011347138
CH3CH2Cl*+PtCu111(*)=TS13=ClCH2CH2*+H*,0.0009722157568727505,0.0017917109794650032,-0.00029400049122520216,-0.0008142613835301501,-0.022658239521365784,-0.004200514931956677,-0.022658239521365784,0.0017917109794650032
