t(s),CH3CH3,ClCH2CH2Cl,CH2CH2,H2,HCl,Ar
1.00000000e-10,3.77805194e-15,4.75142840e-01,1.70368779e-16,1.04534618e-02,1.52724704e-20,5.14403698e-01
1.45000000e-10,5.02783453e-15,4.75126441e-01,4.25626782e-16,1.04516194e-02,4.58897618e-20,5.14421940e-01
1.90000000e-10,4.44666779e-15,4.75112907e-01,8.04587085e-16,1.04504426e-02,9.72801612e-20,5.14436651e-01
2.35000000e-10,3.75202445e-15,4.75101444e-01,1.30356908e-15,1.04496474e-02,1.70595333e-19,5.14448909e-01
2.80000000e-10,3.77944245e-15,4.75091546e-01,1.91634719e-15,1.04490885e-02,2.65919820e-19,5.14459365e-01
3.25000000e-10,3.76827738e-15,4.75082874e-01,2.63584206e-15,1.04486843e-02,3.82791463e-19,5.14468442e-01
3.70000000e-10,4.10149118e-15,4.75075184e-01,3.45485817e-15,1.04483860e-02,5.20476292e-19,5.14476430e-01
4.15000000e-10,3.87015883e-15,4.75068301e-01,4.36641351e-15,1.04481624e-02,6.78116365e-19,5.14483536e-01
4.60000000e-10,3.69108294e-15,4.75062091e-01,5.36388503e-15,1.04479932e-02,8.54810869e-19,5.14489916e-01
5.05000000e-10,3.52367090e-15,4.75056450e-01,6.44106158e-15,1.04478644e-02,1.04966025e-18,5.14495686e-01
5.50000000e-10,3.52026918e-15,4.75051297e-01,7.59213519e-15,1.04477660e-02,1.26178899e-18,5.14500937e-01
5.95000000e-10,3.52009428e-15,4.75046566e-01,8.81171424e-15,1.04476911e-02,1.49036011e-18,5.14505743e-01
6.40000000e-10,3.52012593e-15,4.75042204e-01,1.00948096e-14,1.04476344e-02,1.73458216e-18,5.14510162e-01
6.85000000e-10,3.61857089e-15,4.75038167e-01,1.14367704e-14,1.04475920e-02,1.99370733e-18,5.14514241e-01
7.30000000e-10,3.51152213e-15,4.75034417e-01,1.28332821e-14,1.04475610e-02,2.26703383e-18,5.14518022e-01
7.75000000e-10,3.51282570e-15,4.75030924e-01,1.42803378e-14,1.04475390e-02,2.55390405e-18,5.14521537e-01
8.20000000e-10,3.51972586e-15,4.75027661e-01,1.57742111e-14,1.04475244e-02,2.85370225e-18,5.14524815e-01
8.65000000e-10,3.64114600e-15,4.75024605e-01,1.73114349e-14,1.04475157e-02,3.16585230e-18,5.14527879e-01
9.10000000e-10,4.37576784e-15,4.75021737e-01,1.88887882e-14,1.04475118e-02,3.48981581e-18,5.14530751e-01
9.55000000e-10,4.33450447e-15,4.75019039e-01,2.05032459e-14,1.04475118e-02,3.82508668e-18,5.14533449e-01
1.00000000e-09,4.18933192e-15,4.75016497e-01,2.21519888e-14,1.04475150e-02,4.17119137e-18,5.14535988e-01
1.45000000e-09,4.15245030e-15,4.74997308e-01,4.00237200e-14,1.04476350e-02,8.14285970e-18,5.14555057e-01
1.90000000e-09,4.15238792e-15,4.74985102e-01,5.92689271e-14,1.04477979e-02,1.28448742e-17,5.14567100e-01
2.35000000e-09,4.15245562e-15,4.74976610e-01,7.88594463e-14,1.04479541e-02,1.80915902e-17,5.14575436e-01
2.80000000e-09,4.15250602e-15,4.74970273e-01,9.82429949e-14,1.04480973e-02,2.37733243e-17,5.14581629e-01
3.25000000e-09,4.15254608e-15,4.74965251e-01,1.17134081e-13,1.04482292e-02,2.98230740e-17,5.14586520e-01
3.70000000e-09,4.16946627e-15,4.74961055e-01,1.35401881e-13,1.04483525e-02,3.61991986e-17,5.14590592e-01
4.15000000e-09,4.17935620e-15,4.74957392e-01,1.53005815e-13,1.04484696e-02,4.28756722e-17,5.14594138e-01
4.60000000e-09,4.19406818e-15,4.74954079e-01,1.69957540e-13,1.04485822e-02,4.98363389e-17,5.14597339e-01
5.05000000e-09,4.10164022e-15,4.74950999e-01,1.86297482e-13,1.04486915e-02,5.70713501e-17,5.14600310e-01
5.50000000e-09,4.15770256e-15,4.74948077e-01,2.02081019e-13,1.04487984e-02,6.45749692e-17,5.14603124e-01
5.95000000e-09,4.17000414e-15,4.74945267e-01,2.17369069e-13,1.04489033e-02,7.23440778e-17,5.14605830e-01
6.40000000e-09,4.16905019e-15,4.74942536e-01,2.32223663e-13,1.04490068e-02,8.03773161e-17,5.14608457e-01
6.85000000e-09,4.16935962e-15,4.74939864e-01,2.46704510e-13,1.04491090e-02,8.86744461e-17,5.14611027e-01
7.30000000e-09,4.16969480e-15,4.74937238e-01,2.60867478e-13,1.04492100e-02,9.72359652e-17,5.14613552e-01
7.75000000e-09,4.16941610e-15,4.74934649e-01,2.74763806e-13,1.04493100e-02,1.06062847e-16,5.14616041e-01
8.20000000e-09,4.16952553e-15,4.74932092e-01,2.88439858e-13,1.04494091e-02,1.15156372e-16,5.14618499e-01
8.65000000e-09,4.16951329e-15,4.74929562e-01,3.01937183e-13,1.04495073e-02,1.24518013e-16,5.14620930e-01
9.10000000e-09,4.16915997e-15,4.74927058e-01,3.15292755e-13,1.04496046e-02,1.34149365e-16,5.14623338e-01
9.55000000e-09,4.16927283e-15,4.74924576e-01,3.28539311e-13,1.04497012e-02,1.44052096e-16,5.14625722e-01
1.00000000e-08,4.16927372e-15,4.74922117e-01,3.41705719e-13,1.04497969e-02,1.54227912e-16,5.14628086e-01
1.45000000e-08,4.16946749e-15,4.74898623e-01,4.73247659e-13,1.04507120e-02,2.71383736e-16,5.14650665e-01
