t(s),CH3CH3,ClCH2CH2Cl,CH2CH2,H2,HCl,Ar
1.00000000e-10,5.49540323e-15,2.10017703e-01,2.65619703e-16,2.26795627e-01,1.83223645e-20,5.63186670e-01
1.45000000e-10,7.31348628e-15,2.10016177e-01,6.63607151e-16,2.26761834e-01,5.50553928e-20,5.63221989e-01
1.90000000e-10,6.46822102e-15,2.10013430e-01,1.25447456e-15,2.26739796e-01,1.16711872e-19,5.63246774e-01
2.35000000e-10,5.45782607e-15,2.10010232e-01,2.03248205e-15,2.26724560e-01,2.04673570e-19,5.63265208e-01
2.80000000e-10,5.49773703e-15,2.10006919e-01,2.98792062e-15,2.26713579e-01,3.19041752e-19,5.63279503e-01
3.25000000e-10,5.48151045e-15,2.10003644e-01,4.10974999e-15,2.26705414e-01,4.59261684e-19,5.63290942e-01
3.70000000e-10,5.96622536e-15,2.10000482e-01,5.38674889e-15,2.26699196e-01,6.24452504e-19,5.63300322e-01
4.15000000e-10,5.62971890e-15,2.09997463e-01,6.80802934e-15,2.26694371e-01,8.13584626e-19,5.63308166e-01
4.60000000e-10,5.36922345e-15,2.09994598e-01,8.36326330e-15,2.26690571e-01,1.02557706e-18,5.63314831e-01
5.05000000e-10,5.12569273e-15,2.09991889e-01,1.00427653e-14,2.26687542e-01,1.25935035e-18,5.63320569e-01
5.50000000e-10,5.12073757e-15,2.09989330e-01,1.18374788e-14,2.26685105e-01,1.51385392e-18,5.63325565e-01
5.95000000e-10,5.12047525e-15,2.09986915e-01,1.37389966e-14,2.26683129e-01,1.78808344e-18,5.63329956e-01
6.40000000e-10,5.12051268e-15,2.09984634e-01,1.57395392e-14,2.26681518e-01,2.08108927e-18,5.63333848e-01
6.85000000e-10,5.26370530e-15,2.09982479e-01,1.78318547e-14,2.26680199e-01,2.39197410e-18,5.63337322e-01
7.30000000e-10,5.10797901e-15,2.09980442e-01,2.00092160e-14,2.26679116e-01,2.71989590e-18,5.63340443e-01
7.75000000e-10,5.10986589e-15,2.09978514e-01,2.22653752e-14,2.26678225e-01,3.06406564e-18,5.63343261e-01
8.20000000e-10,5.11989371e-15,2.09976687e-01,2.45945222e-14,2.26677493e-01,3.42374453e-18,5.63345820e-01
