t(s),CH3CH3,ClCH2CH2Cl,CH2CH2,H2,HCl,Ar
1.00000000e-10,-1.45388162e-10,-2.87527537e-02,5.32638860e-13,-1.04236602e-01,4.47070623e-17,0.00000000e+00
1.45000000e-10,1.07759326e-10,-2.30464522e-02,8.71557541e-13,-6.71835172e-02,8.60960388e-17,0.00000000e+00
1.90000000e-10,9.39347935e-10,-1.90171394e-02,1.21707078e-12,-4.59035391e-02,1.33052031e-16,0.00000000e+00
2.35000000e-10,-4.28516291e-10,-1.61974775e-02,1.53472929e-12,-3.34127072e-02,1.79254935e-16,0.00000000e+00
2.80000000e-10,1.72693265e-10,-1.40452293e-02,1.83384328e-12,-2.52068155e-02,2.24894223e-16,0.00000000e+00
3.25000000e-10,-5.62398132e-11,-1.23495237e-02,2.11344140e-12,-1.95505502e-02,2.69202750e-16,0.00000000e+00
3.70000000e-10,3.17830160e-11,-1.08866033e-02,2.39280740e-12,-1.52429523e-02,3.14972361e-16,0.00000000e+00
4.15000000e-10,-4.19964825e-11,-9.75583768e-03,2.63741983e-12,-1.22761234e-02,3.56280517e-16,0.00000000e+00
4.60000000e-10,-1.55493430e-11,-8.89704791e-03,2.84300372e-12,-1.02339697e-02,3.91857011e-16,0.00000000e+00
5.05000000e-10,-3.42631838e-13,-8.06112888e-03,3.06057154e-12,-8.42102767e-03,4.30539792e-16,0.00000000e+00
5.50000000e-10,8.45970957e-15,-7.34753225e-03,3.26012961e-12,-7.00969472e-03,4.67174654e-16,0.00000000e+00
5.95000000e-10,6.97285801e-18,-6.77523640e-03,3.43356365e-12,-5.96845419e-03,4.99565946e-16,0.00000000e+00
6.40000000e-10,-1.37103822e-17,-6.27404542e-03,3.59226316e-12,-5.12277901e-03,5.30198336e-16,0.00000000e+00
6.85000000e-10,1.11004434e-11,-5.80061362e-03,3.75113681e-12,-4.38066180e-03,5.61529824e-16,0.00000000e+00
7.30000000e-10,1.90952056e-12,-5.39927992e-03,3.89117242e-12,-3.79467684e-03,5.90022412e-16,0.00000000e+00
7.75000000e-10,1.28259841e-12,-4.99549728e-03,4.03761925e-12,-3.24500589e-03,6.20741553e-16,0.00000000e+00
8.20000000e-10,5.88601549e-12,-4.70550175e-03,4.14613549e-12,-2.87490015e-03,6.44214097e-16,0.00000000e+00
8.65000000e-10,-1.23550679e-11,-4.37835065e-03,4.27167116e-12,-2.48210741e-03,6.72262566e-16,0.00000000e+00
9.10000000e-10,-2.99663290e-11,-4.14127234e-03,4.36496797e-12,-2.21383453e-03,6.93760540e-16,0.00000000e+00
9.55000000e-10,-2.18926776e-11,-3.87489177e-03,4.47026746e-12,-1.92880813e-03,7.19098827e-16,0.00000000e+00
1.00000000e-09,-4.38539401e-11,-3.66778021e-03,4.55444271e-12,-1.71918666e-03,7.39902725e-16,0.00000000e+00
1.45000000e-09,-5.83058377e-15,-2.19727133e-03,5.13911134e-12,-5.31848491e-04,9.22590050e-16,0.00000000e+00
1.90000000e-09,7.87164902e-19,-1.47246576e-03,5.34124124e-12,-1.40442048e-04,1.05218402e-15,0.00000000e+00
2.35000000e-09,2.72116338e-18,-1.06474682e-03,5.34277300e-12,2.32701959e-05,1.15265116e-15,0.00000000e+00
2.80000000e-09,5.34012319e-21,-8.17480217e-04,5.23611545e-12,1.02328979e-04,1.23682110e-15,0.00000000e+00
3.25000000e-09,1.16644845e-18,-6.66200334e-04,5.07766254e-12,1.42716515e-04,1.30897391e-15,0.00000000e+00
3.70000000e-09,9.72582716e-14,-5.70356326e-04,4.89995758e-12,1.64729714e-04,1.37382314e-15,0.00000000e+00
4.15000000e-09,1.11298017e-13,-5.06944016e-04,4.71687439e-12,1.77338348e-04,1.43551651e-15,0.00000000e+00
4.60000000e-09,-5.86938983e-13,-4.65559797e-04,4.54362057e-12,1.84321248e-04,1.49377491e-15,0.00000000e+00
5.05000000e-09,-5.92298669e-13,-4.37618163e-04,4.38495996e-12,1.88102406e-04,1.55055238e-15,0.00000000e+00
5.50000000e-09,-3.39704663e-13,-4.18157503e-04,4.24011907e-12,1.89943771e-04,1.60704845e-15,0.00000000e+00
5.95000000e-09,-5.71635696e-14,-4.04695853e-04,4.11519264e-12,1.90542727e-04,1.66179355e-15,0.00000000e+00
6.40000000e-09,3.94489511e-15,-3.94022601e-04,3.99729150e-12,1.90350608e-04,1.72151685e-15,0.00000000e+00
6.85000000e-09,1.09664406e-14,-3.86470678e-04,3.90299185e-12,1.89661682e-04,1.77782638e-15,0.00000000e+00
