t(s),Temperature,Pressure,Density,Mass,Volume,IntEnergy,mdot_in,mdot_out,mdot_surf,mdot
1.00000000e-10,4.63150000e+02,1.51937123e+05,1.72573105e+00,3.45146211e-06,2.00000000e-06,-1.98175645e+07,-3.45191206e-06,-3.45191156e-06,-3.05534098e+00,-3.05534098e+00,
1.45000000e-10,4.63150000e+02,1.51927596e+05,1.72566986e+00,3.45133972e-06,2.00000000e-06,-1.98164305e+07,-3.45191206e-06,-3.45191146e-06,-2.41598060e+00,-2.41598060e+00,
1.90000000e-10,4.63150000e+02,1.51920910e+05,1.72562051e+00,3.45124102e-06,2.00000000e-06,-1.98155998e+07,-3.45191206e-06,-3.45191139e-06,-1.97436352e+00,-1.97436352e+00,
2.35000000e-10,4.63150000e+02,1.51915938e+05,1.72557939e+00,3.45115879e-06,2.00000000e-06,-1.98149578e+07,-3.45191206e-06,-3.45191134e-06,-1.67016522e+00,-1.67016522e+00,
2.80000000e-10,4.63150000e+02,1.51912083e+05,1.72554432e+00,3.45108864e-06,2.00000000e-06,-1.98144426e+07,-3.45191206e-06,-3.45191131e-06,-1.44064855e+00,-1.44064855e+00,
3.25000000e-10,4.63150000e+02,1.51908998e+05,1.72551388e+00,3.45102776e-06,2.00000000e-06,-1.98140174e+07,-3.45191206e-06,-3.45191127e-06,-1.26144868e+00,-1.26144868e+00,
3.70000000e-10,4.63150000e+02,1.51906468e+05,1.72548709e+00,3.45097418e-06,2.00000000e-06,-1.98136587e+07,-3.45191206e-06,-3.45191125e-06,-1.10800274e+00,-1.10800274e+00,
4.15000000e-10,4.63150000e+02,1.51904353e+05,1.72546325e+00,3.45092651e-06,2.00000000e-06,-1.98133510e+07,-3.45191206e-06,-3.45191123e-06,-9.90127828e-01,-9.90127828e-01,
4.60000000e-10,4.63150000e+02,1.51902556e+05,1.72544186e+00,3.45088372e-06,2.00000000e-06,-1.98130832e+07,-3.45191206e-06,-3.45191121e-06,-9.01030162e-01,-9.01030162e-01,
5.05000000e-10,4.63150000e+02,1.51901008e+05,1.72542251e+00,3.45084502e-06,2.00000000e-06,-1.98128477e+07,-3.45191206e-06,-3.45191119e-06,-8.14657739e-01,-8.14657739e-01,
5.50000000e-10,4.63150000e+02,1.51899661e+05,1.72540490e+00,3.45080980e-06,2.00000000e-06,-1.98126384e+07,-3.45191206e-06,-3.45191118e-06,-7.41199250e-01,-7.41199250e-01,
5.95000000e-10,4.63150000e+02,1.51898477e+05,1.72538878e+00,3.45077756e-06,2.00000000e-06,-1.98124509e+07,-3.45191206e-06,-3.45191117e-06,-6.82469146e-01,-6.82469146e-01,
6.40000000e-10,4.63150000e+02,1.51897428e+05,1.72537396e+00,3.45074793e-06,2.00000000e-06,-1.98122819e+07,-3.45191206e-06,-3.45191116e-06,-6.31169413e-01,-6.31169413e-01,
6.85000000e-10,4.63150000e+02,1.51896491e+05,1.72536028e+00,3.45072056e-06,2.00000000e-06,-1.98121285e+07,-3.45191206e-06,-3.45191115e-06,-5.82825334e-01,-5.82825334e-01,
7.30000000e-10,4.63150000e+02,1.51895650e+05,1.72534760e+00,3.45069521e-06,2.00000000e-06,-1.98119886e+07,-3.45191206e-06,-3.45191114e-06,-5.41930414e-01,-5.41930414e-01,
7.75000000e-10,4.63150000e+02,1.51894890e+05,1.72533582e+00,3.45067163e-06,2.00000000e-06,-1.98118605e+07,-3.45191206e-06,-3.45191113e-06,-5.00866370e-01,-5.00866370e-01,
8.20000000e-10,4.63150000e+02,1.51894200e+05,1.72532483e+00,3.45064965e-06,2.00000000e-06,-1.98117425e+07,-3.45191206e-06,-3.45191113e-06,-4.71424018e-01,-4.71424018e-01,
8.65000000e-10,4.63150000e+02,1.51893571e+05,1.72531455e+00,3.45062910e-06,2.00000000e-06,-1.98116336e+07,-3.45191206e-06,-3.45191112e-06,-4.38259239e-01,-4.38259239e-01,
9.10000000e-10,4.63150000e+02,1.51892995e+05,1.72530492e+00,3.45060984e-06,2.00000000e-06,-1.98115327e+07,-3.45191206e-06,-3.45191112e-06,-4.14258555e-01,-4.14258555e-01,
9.55000000e-10,4.63150000e+02,1.51892466e+05,1.72529587e+00,3.45059175e-06,2.00000000e-06,-1.98114388e+07,-3.45191206e-06,-3.45191111e-06,-3.87324518e-01,-3.87324518e-01,
1.00000000e-09,4.63150000e+02,1.51891979e+05,1.72528736e+00,3.45057472e-06,2.00000000e-06,-1.98113514e+07,-3.45191206e-06,-3.45191110e-06,-3.66407404e-01,-3.66407404e-01,
1.45000000e-09,4.63150000e+02,1.51888628e+05,1.72522342e+00,3.45044684e-06,2.00000000e-06,-1.98107209e+07,-3.45191206e-06,-3.45191107e-06,-2.18500994e-01,-2.18500994e-01,
1.90000000e-09,4.63150000e+02,1.51886793e+05,1.72518304e+00,3.45036609e-06,2.00000000e-06,-1.98103463e+07,-3.45191206e-06,-3.45191105e-06,-1.45989508e-01,-1.45989508e-01,
2.35000000e-09,4.63150000e+02,1.51885664e+05,1.72515510e+00,3.45031020e-06,2.00000000e-06,-1.98100988e+07,-3.45191206e-06,-3.45191104e-06,-1.05314044e-01,-1.05314044e-01,
2.80000000e-09,4.63150000e+02,1.51884912e+05,1.72513433e+00,3.45026867e-06,2.00000000e-06,-1.98099222e+07,-3.45191206e-06,-3.45191103e-06,-8.06866420e-02,-8.06866420e-02,
3.25000000e-09,4.63150000e+02,1.51884379e+05,1.72511794e+00,3.45023588e-06,2.00000000e-06,-1.98097879e+07,-3.45191206e-06,-3.45191103e-06,-6.56354712e-02,-6.56354712e-02,
3.70000000e-09,4.63150000e+02,1.51883979e+05,1.72510429e+00,3.45020857e-06,2.00000000e-06,-1.98096798e+07,-3.45191206e-06,-3.45191103e-06,-5.61069447e-02,-5.61069447e-02,
4.15000000e-09,4.63150000e+02,1.51883662e+05,1.72509240e+00,3.45018480e-06,2.00000000e-06,-1.98095882e+07,-3.45191206e-06,-3.45191102e-06,-4.98066240e-02,-4.98066240e-02,
4.60000000e-09,4.63150000e+02,1.51883398e+05,1.72508167e+00,3.45016334e-06,2.00000000e-06,-1.98095074e+07,-3.45191206e-06,-3.45191102e-06,-4.56974124e-02,-4.56974124e-02,
