t(s),CH3CH3*,CH2CH2*,ClCH2CH2Cl*,CH3CH2*,ClCH2CH2*,H*,Cl*,TS12,TS16,TS47,TS49,PtCu111(*)
1.00000000e-10,-2.53054789e-16,1.92850536e-11,4.42495692e-02,6.68940516e-19,1.19317631e-13,4.76599267e-01,3.91421177e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.79151163e-01
1.45000000e-10,8.88077921e-17,3.16312972e-11,5.67726210e-02,1.98354891e-18,1.53189557e-13,5.58428364e-01,6.45466843e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.84799014e-01
1.90000000e-10,2.60722443e-16,4.38408479e-11,6.69877850e-02,4.17512598e-18,1.80819427e-13,6.12991352e-01,9.00002512e-11,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.20020863e-01
2.35000000e-10,-3.26779482e-16,5.55156850e-11,7.55692619e-02,7.29023895e-18,2.04030742e-13,6.51600574e-01,1.14698805e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.72830164e-01
2.80000000e-10,1.03358043e-16,6.65098369e-11,8.29337644e-02,1.12894432e-17,2.23950581e-13,6.80118605e-01,1.38334978e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.36947630e-01
3.25000000e-10,-3.31371487e-17,7.67846740e-11,8.93569999e-02,1.61597106e-17,2.41324673e-13,7.01877507e-01,1.60813441e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.08765493e-01
3.70000000e-10,7.66288393e-18,8.63494300e-11,9.50309154e-02,2.18699133e-17,2.56673238e-13,7.18905853e-01,1.82134061e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.86063232e-01
4.15000000e-10,-1.03939927e-18,9.52338016e-11,1.00094544e-01,2.83345460e-17,2.71187929e-13,7.32506233e-01,2.02338870e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.67399223e-01
4.60000000e-10,-1.37070043e-16,1.03489301e-10,1.04651836e-01,3.55403720e-17,2.72864838e-13,7.43551442e-01,2.21501292e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.51796722e-01
5.05000000e-10,4.77161427e-19,1.11124276e-10,1.08782560e-01,4.34276685e-17,2.95392776e-13,7.52646998e-01,2.39655210e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.38570441e-01
5.50000000e-10,4.77674640e-21,1.18217148e-10,1.12549270e-01,5.19491174e-17,3.01955472e-13,7.60225356e-01,2.56905218e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.27225374e-01
5.95000000e-10,5.08319294e-21,1.24782946e-10,1.16001927e-01,6.10602875e-17,3.17238393e-13,7.66603046e-01,2.73291738e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.17395026e-01
6.40000000e-10,4.71304048e-21,1.30880249e-10,1.19181075e-01,7.07193795e-17,3.19858003e-13,7.72016675e-01,2.88897292e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.08802250e-01
6.85000000e-10,1.65618639e-17,1.36523454e-10,1.22120061e-01,8.08870859e-17,3.29950251e-13,7.76646364e-01,3.03758454e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.01233574e-01
7.30000000e-10,-6.58659642e-18,1.41754544e-10,1.24846652e-01,9.15265678e-17,3.37379942e-13,7.80631441e-01,3.17937596e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.45219063e-02
7.75000000e-10,3.43755706e-18,1.46600753e-10,1.27384208e-01,1.02602887e-16,3.44210326e-13,7.84081207e-01,3.31480603e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.85345841e-02
8.20000000e-10,1.97781281e-17,1.51089179e-10,1.29752570e-01,1.14084261e-16,3.50260496e-13,7.87082490e-01,3.44431595e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,8.31649393e-02
8.65000000e-10,6.89623674e-17,1.55246229e-10,1.31968733e-01,1.25940566e-16,3.53856340e-13,7.89705044e-01,3.56832499e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.83262227e-02
9.10000000e-10,9.98784290e-17,1.59097849e-10,1.34047363e-01,1.38143887e-16,3.51770202e-13,7.92005473e-01,3.68723429e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,7.39471634e-02
9.55000000e-10,-1.34872148e-16,1.62638718e-10,1.36001207e-01,1.50668082e-16,3.70260571e-13,7.94030132e-01,3.80111962e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.99686608e-02
