t(s),CH3CH3*,CH2CH2*,ClCH2CH2Cl*,CH3CH2*,ClCH2CH2*,H*,Cl*,TS12,TS16,TS47,TS49,PtCu111(*)
1.00000000e-10,1.68199089e-10,2.70151828e-10,3.11334780e-01,1.96995710e-17,8.42084523e-13,2.26330415e+00,5.52570454e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-2.57463893e+00
1.45000000e-10,-5.90072270e-11,2.75064565e-10,2.49466027e-01,3.86474249e-17,6.74750170e-13,1.45781280e+00,5.69541997e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.70727882e+00
1.90000000e-10,-1.73268644e-10,2.66231187e-10,2.06951206e-01,5.88908018e-17,5.59762161e-13,1.00662445e+00,5.58992413e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-1.21357565e+00
2.35000000e-10,2.17191253e-10,2.52156600e-10,1.75951952e-01,7.86739247e-17,4.75919969e-13,7.30111584e-01,5.37674637e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-9.06063537e-01
2.80000000e-10,-6.86860710e-11,2.36349075e-10,1.52360680e-01,9.87790362e-17,4.12112371e-13,5.49287432e-01,5.12507709e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-7.01648112e-01
3.25000000e-10,2.20299234e-11,2.20353588e-10,1.33816569e-01,1.17578326e-16,3.61927807e-13,4.25090718e-01,4.86552327e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-5.58907288e-01
3.70000000e-10,-5.08662336e-12,2.04865106e-10,1.18866075e-01,1.35457215e-16,3.20486390e-13,3.36446220e-01,4.61199050e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-4.55312295e-01
4.15000000e-10,6.96108715e-13,1.90842405e-10,1.06565184e-01,1.52211716e-16,-3.73274932e-13,2.71190666e-01,4.37721978e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-3.77755851e-01
4.60000000e-10,9.11035313e-11,1.69209078e-10,9.62740753e-02,1.67835632e-16,7.46157855e-12,2.21916812e-01,4.07179759e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-3.18190888e-01
5.05000000e-10,-3.13129173e-13,1.64596622e-10,8.75436859e-02,1.82484790e-16,-7.81288021e-13,1.83911433e-01,3.94234003e-10,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,-2.71455119e-01
