,t(s),N2_molefrac,NH3_molefrac,H2_molefrac,N2_massfrac,NH3_massfrac,H2_massfrac,dN2_rate(kmol/sec),dNH3_rate(kmol/sec),dH2_rate(kmol/sec),NH3_Conversion_mass,pressure(atm),temperature(K),residence_time(sec),vol_flow_rate(cm3/sec),P_N2(atm),P_NH3(atm),P_H2(atm),CSTR_slice_no
0,100.0,0.0841402852,0.663438859,0.252420856,0.166403366,0.797671469,0.0359251646,2.61603871e-08,-5.23207741e-08,7.84811595e-08,0.20232853100000003,4.45,950.0,0.22075055187637968,4.53,0.37442426914,2.95230292255,1.1232728092000002,2
1,100.0,0.100198514,0.599205944,0.300595542,0.206120818,0.749379335,0.0444998467,3.21772125e-08,-6.43544248e-08,9.65316377e-08,0.250620665,7.45,990.0,0.35714285714285715,2.8,0.7464789293,4.4640842828,2.2394367879,2
2,100.0,0.0779591221,0.688163512,0.233877366,0.151920857,0.815280637,0.0327985059,9.87456454e-09,-1.97491303e-08,2.96236945e-08,0.18471936300000003,4.75,936.67,0.5780346820809249,1.73,0.370305829975,3.2687766820000004,1.1109174885,2
3,100.0,0.0523300658,0.790679737,0.156990197,0.0961387194,0.883105695,0.0207555856,1.06852267e-08,-2.1370453e-08,3.20556804e-08,0.11689430499999998,6.55,930.0,0.4694835680751174,2.13,0.34276193098999996,5.1789522773500005,1.02828579035,2
4,100.0,0.0454841524,0.81806339,0.136452457,0.0823030739,0.899928346,0.0177685797,5.92945283e-09,-1.18589057e-08,1.77883585e-08,0.10007165399999995,2.35,870.0,0.2777777777777778,3.6,0.10688775814,1.9224489665,0.32066327395,2
5,100.0,0.101926619,0.592293526,0.305779856,0.210585982,0.743950178,0.0454638402,1.28115431e-08,-2.56230862e-08,3.84346293e-08,0.25604982200000004,1.75,910.0,0.234192037470726,4.27,0.17837158325,1.0365136705,0.535114748,2
6,100.0,0.0319465139,0.872213944,0.0958395416,0.056134902,0.931746019,0.0121190793,1.61241256e-08,-3.22482505e-08,4.83723768e-08,0.06825398100000002,9.25,923.33,0.25839793281653745,3.87,0.295505253575,8.067978982,0.8865157598,2
7,100.0,0.0763669947,0.694532021,0.229100984,0.14825894,0.819733133,0.0320079271,2.85435057e-08,-5.70870133e-08,8.56305163e-08,0.18026686700000005,5.65,956.67,0.22727272727272727,4.4,0.431473520055,3.92410591865,1.2944205596,2
8,100.0,0.0473319526,0.81067219,0.141995858,0.0859962593,0.895437832,0.0185659091,8.67819089e-09,-1.73563818e-08,2.60345727e-08,0.10456216799999996,3.25,890.0,0.2680965147453083,3.73,0.15382884595,2.6346846175,0.4614865385,2
9,100.0,0.0284443061,0.886222776,0.0853329183,0.0496097833,0.939679859,0.010710358,5.6312452e-09,-1.12624893e-08,1.68937356e-08,0.06032014100000005,8.65,903.33,0.625,1.6,0.246043247765,7.6658270124,0.738129743295,2
10,100.0,0.0183405223,0.926637911,0.0550215668,0.0313167415,0.961922223,0.00676103565,4.03123806e-09,-8.06247602e-09,1.20937142e-08,0.038077777000000035,6.25,863.33,0.4166666666666667,2.4,0.114628264375,5.79148694375,0.3438847925,2
