,ST,S1
N2,5.399430304698088e-06,0.0008742245301065092
NH3,0.012888950398430287,0.021712821952725857
H2,0.375267189294232,0.22401417492112569
N2(T),0.0,0.0
N(T),7.348994702559796e-20,3.9166962649431696e-11
H(T),6.415495505308377e-23,4.557607542287222e-13
NH3(T),2.210255508661912e-24,-1.2759422586582213e-13
NH2(T),2.5322183066855203e-30,-1.4454529564499902e-16
NH(T),1.837384025595806e-20,-8.285564824616713e-11
TS1_NH3(T),0.0,0.0
TS2_NH2(T),0.0,0.0
TS3_NH(T),0.0,0.0
TS4_N2(T),1.6009831948841425e-19,-2.1284348751042763e-10
N2(S),1.214391189477198e-12,-1.487953806816563e-07
N(S),0.7875276856485564,0.56012522762015
H(S),0.040542310823763535,-0.03999337123722019
NH3(S),3.3473487673689435e-07,0.00025008194234105434
NH2(S),0.41620014000189787,0.0063476956280093455
NH(S),0.043287490568797715,0.00184038462215766
TS1_NH3(S),0.0,0.0
TS2_NH2(S),0.0,0.0
TS3_NH(S),0.0,0.0
TS4_N2(S),0.06540240725847876,-0.04725613183099331
